Array ID	Array	Experiment ID	Experiment	Functional category ID	Functional category
86	EC_GLU_WILD_A	1	Palsson_2005_Genome_Res	1	carbon_source
87	EC_GLU_WILD_B	1	Palsson_2005_Genome_Res	1	carbon_source
88	EC_GLU_WILD_C	1	Palsson_2005_Genome_Res	1	carbon_source
1	EC_GLY_GLY1_20_A	1	Palsson_2005_Genome_Res	1	carbon_source
2	EC_GLY_GLY1_20_B	1	Palsson_2005_Genome_Res	1	carbon_source
3	EC_GLY_GLY1_20_C	1	Palsson_2005_Genome_Res	1	carbon_source
4	EC_GLY_GLY1_44_A	1	Palsson_2005_Genome_Res	1	carbon_source
5	EC_GLY_GLY1_44_B	1	Palsson_2005_Genome_Res	1	carbon_source
6	EC_GLY_GLY1_44_C	1	Palsson_2005_Genome_Res	1	carbon_source
7	EC_GLY_GLY2_20_A	1	Palsson_2005_Genome_Res	1	carbon_source
8	EC_GLY_GLY2_20_B	1	Palsson_2005_Genome_Res	1	carbon_source
9	EC_GLY_GLY2_20_C	1	Palsson_2005_Genome_Res	1	carbon_source
10	EC_GLY_GLY2_44_A	1	Palsson_2005_Genome_Res	1	carbon_source
11	EC_GLY_GLY2_44_B	1	Palsson_2005_Genome_Res	1	carbon_source
12	EC_GLY_GLY2_44_C	1	Palsson_2005_Genome_Res	1	carbon_source
13	EC_GLY_GLYA_20_A	1	Palsson_2005_Genome_Res	1	carbon_source
14	EC_GLY_GLYA_20_B	1	Palsson_2005_Genome_Res	1	carbon_source
15	EC_GLY_GLYA_20_C	1	Palsson_2005_Genome_Res	1	carbon_source
16	EC_GLY_GLYA_44_A	1	Palsson_2005_Genome_Res	1	carbon_source
17	EC_GLY_GLYA_44_B	1	Palsson_2005_Genome_Res	1	carbon_source
18	EC_GLY_GLYA_44_C	1	Palsson_2005_Genome_Res	1	carbon_source
19	EC_GLY_GLYB_20_A	1	Palsson_2005_Genome_Res	1	carbon_source
20	EC_GLY_GLYB_20_B	1	Palsson_2005_Genome_Res	1	carbon_source
21	EC_GLY_GLYB_20_C	1	Palsson_2005_Genome_Res	1	carbon_source
22	EC_GLY_GLYB_44_A	1	Palsson_2005_Genome_Res	1	carbon_source
23	EC_GLY_GLYB_44_B	1	Palsson_2005_Genome_Res	1	carbon_source
24	EC_GLY_GLYB_44_C	1	Palsson_2005_Genome_Res	1	carbon_source
25	EC_GLY_GLYC_20_A	1	Palsson_2005_Genome_Res	1	carbon_source
26	EC_GLY_GLYC_20_B	1	Palsson_2005_Genome_Res	1	carbon_source
27	EC_GLY_GLYC_20_C	1	Palsson_2005_Genome_Res	1	carbon_source
28	EC_GLY_GLYC_44_A	1	Palsson_2005_Genome_Res	1	carbon_source
29	EC_GLY_GLYC_44_B	1	Palsson_2005_Genome_Res	1	carbon_source
30	EC_GLY_GLYC_44_C	1	Palsson_2005_Genome_Res	1	carbon_source
31	EC_GLY_GLYD_20_A	1	Palsson_2005_Genome_Res	1	carbon_source
32	EC_GLY_GLYD_20_B	1	Palsson_2005_Genome_Res	1	carbon_source
33	EC_GLY_GLYD_20_C	1	Palsson_2005_Genome_Res	1	carbon_source
34	EC_GLY_GLYD_44_A	1	Palsson_2005_Genome_Res	1	carbon_source
35	EC_GLY_GLYD_44_B	1	Palsson_2005_Genome_Res	1	carbon_source
36	EC_GLY_GLYD_44_C	1	Palsson_2005_Genome_Res	1	carbon_source
37	EC_GLY_GLYE_20_A	1	Palsson_2005_Genome_Res	1	carbon_source
38	EC_GLY_GLYE_20_B	1	Palsson_2005_Genome_Res	1	carbon_source
39	EC_GLY_GLYE_20_C	1	Palsson_2005_Genome_Res	1	carbon_source
40	EC_GLY_GLYE_44_A	1	Palsson_2005_Genome_Res	1	carbon_source
41	EC_GLY_GLYE_44_B	1	Palsson_2005_Genome_Res	1	carbon_source
42	EC_GLY_GLYE_44_C	1	Palsson_2005_Genome_Res	1	carbon_source
89	EC_GLY_WILD_A	1	Palsson_2005_Genome_Res	1	carbon_source
90	EC_GLY_WILD_B	1	Palsson_2005_Genome_Res	1	carbon_source
91	EC_GLY_WILD_C	1	Palsson_2005_Genome_Res	1	carbon_source
92	EC_GLY_WILD_D	1	Palsson_2005_Genome_Res	1	carbon_source
93	EC_GLY_WILD_E	1	Palsson_2005_Genome_Res	1	carbon_source
43	EC_LAC_L2_20_A	1	Palsson_2005_Genome_Res	1	carbon_source
44	EC_LAC_L2_20_B	1	Palsson_2005_Genome_Res	1	carbon_source
45	EC_LAC_L2_20_C	1	Palsson_2005_Genome_Res	1	carbon_source
46	EC_LAC_L2_60_A	1	Palsson_2005_Genome_Res	1	carbon_source
47	EC_LAC_L2_60_B	1	Palsson_2005_Genome_Res	1	carbon_source
48	EC_LAC_L2_60_C	1	Palsson_2005_Genome_Res	1	carbon_source
49	EC_LAC_L3_20_A	1	Palsson_2005_Genome_Res	1	carbon_source
50	EC_LAC_L3_20_B	1	Palsson_2005_Genome_Res	1	carbon_source
51	EC_LAC_L3_20_C	1	Palsson_2005_Genome_Res	1	carbon_source
52	EC_LAC_L3_60_A	1	Palsson_2005_Genome_Res	1	carbon_source
53	EC_LAC_L3_60_B	1	Palsson_2005_Genome_Res	1	carbon_source
54	EC_LAC_L3_60_C	1	Palsson_2005_Genome_Res	1	carbon_source
55	EC_LAC_LA_20_A	1	Palsson_2005_Genome_Res	1	carbon_source
56	EC_LAC_LA_20_B	1	Palsson_2005_Genome_Res	1	carbon_source
57	EC_LAC_LA_20_C	1	Palsson_2005_Genome_Res	1	carbon_source
58	EC_LAC_LA_60_A	1	Palsson_2005_Genome_Res	1	carbon_source
59	EC_LAC_LA_60_B	1	Palsson_2005_Genome_Res	1	carbon_source
60	EC_LAC_LA_60_C	1	Palsson_2005_Genome_Res	1	carbon_source
61	EC_LAC_LA_60_D	1	Palsson_2005_Genome_Res	1	carbon_source
62	EC_LAC_LB_20_A	1	Palsson_2005_Genome_Res	1	carbon_source
63	EC_LAC_LB_20_B	1	Palsson_2005_Genome_Res	1	carbon_source
64	EC_LAC_LB_20_C	1	Palsson_2005_Genome_Res	1	carbon_source
65	EC_LAC_LB_60_A	1	Palsson_2005_Genome_Res	1	carbon_source
66	EC_LAC_LB_60_B	1	Palsson_2005_Genome_Res	1	carbon_source
67	EC_LAC_LB_60_C	1	Palsson_2005_Genome_Res	1	carbon_source
68	EC_LAC_LC_20_A	1	Palsson_2005_Genome_Res	1	carbon_source
69	EC_LAC_LC_20_B	1	Palsson_2005_Genome_Res	1	carbon_source
70	EC_LAC_LC_20_C	1	Palsson_2005_Genome_Res	1	carbon_source
71	EC_LAC_LC_60_A	1	Palsson_2005_Genome_Res	1	carbon_source
72	EC_LAC_LC_60_B	1	Palsson_2005_Genome_Res	1	carbon_source
73	EC_LAC_LC_60_C	1	Palsson_2005_Genome_Res	1	carbon_source
74	EC_LAC_LD_20_A	1	Palsson_2005_Genome_Res	1	carbon_source
75	EC_LAC_LD_20_B	1	Palsson_2005_Genome_Res	1	carbon_source
76	EC_LAC_LD_20_C	1	Palsson_2005_Genome_Res	1	carbon_source
77	EC_LAC_LD_60_A	1	Palsson_2005_Genome_Res	1	carbon_source
78	EC_LAC_LD_60_B	1	Palsson_2005_Genome_Res	1	carbon_source
79	EC_LAC_LD_60_C	1	Palsson_2005_Genome_Res	1	carbon_source
80	EC_LAC_LE_20_A	1	Palsson_2005_Genome_Res	1	carbon_source
81	EC_LAC_LE_20_B	1	Palsson_2005_Genome_Res	1	carbon_source
82	EC_LAC_LE_20_C	1	Palsson_2005_Genome_Res	1	carbon_source
83	EC_LAC_LE_60_A	1	Palsson_2005_Genome_Res	1	carbon_source
84	EC_LAC_LE_60_B	1	Palsson_2005_Genome_Res	1	carbon_source
85	EC_LAC_LE_60_C	1	Palsson_2005_Genome_Res	1	carbon_source
94	EC_LAC_WILD_A	1	Palsson_2005_Genome_Res	1	carbon_source
95	EC_LAC_WILD_B	1	Palsson_2005_Genome_Res	1	carbon_source
96	EC_LAC_WILD_C	1	Palsson_2005_Genome_Res	1	carbon_source
97	EC_LAC_WILD_D	1	Palsson_2005_Genome_Res	1	carbon_source
98	EC_LAC_WILD_E	1	Palsson_2005_Genome_Res	1	carbon_source
99	EC_LAC_WILD_F	1	Palsson_2005_Genome_Res	1	carbon_source
256	Clean_ANA12	10	Chang_2002_Mol_Biol	2	aerobic__anaerobic
257	Clean_ANA13	10	Chang_2002_Mol_Biol	2	aerobic__anaerobic
258	Clean_ANA15	10	Chang_2002_Mol_Biol	2	aerobic__anaerobic
259	Clean_ANA17	10	Chang_2002_Mol_Biol	2	aerobic__anaerobic
251	Clean_ANA2	10	Chang_2002_Mol_Biol	2	aerobic__anaerobic
260	Clean_ANA20	10	Chang_2002_Mol_Biol	2	aerobic__anaerobic
252	Clean_ANA3	10	Chang_2002_Mol_Biol	2	aerobic__anaerobic
253	Clean_ANA6	10	Chang_2002_Mol_Biol	2	aerobic__anaerobic
254	Clean_ANA7	10	Chang_2002_Mol_Biol	2	aerobic__anaerobic
255	Clean_ANA9	10	Chang_2002_Mol_Biol	2	aerobic__anaerobic
296	Clean_DIAUX10	10	Chang_2002_Mol_Biol	7	diauxic_shift
297	Clean_DIAUX11	10	Chang_2002_Mol_Biol	7	diauxic_shift
298	Clean_DIAUX12	10	Chang_2002_Mol_Biol	7	diauxic_shift
299	Clean_DIAUX13	10	Chang_2002_Mol_Biol	7	diauxic_shift
300	Clean_DIAUX14	10	Chang_2002_Mol_Biol	7	diauxic_shift
301	Clean_DIAUX15	10	Chang_2002_Mol_Biol	7	diauxic_shift
302	Clean_DIAUX16	10	Chang_2002_Mol_Biol	7	diauxic_shift
303	Clean_DIAUX17	10	Chang_2002_Mol_Biol	7	diauxic_shift
288	Clean_DIAUX2	10	Chang_2002_Mol_Biol	7	diauxic_shift
289	Clean_DIAUX3	10	Chang_2002_Mol_Biol	7	diauxic_shift
290	Clean_DIAUX4	10	Chang_2002_Mol_Biol	7	diauxic_shift
291	Clean_DIAUX5	10	Chang_2002_Mol_Biol	7	diauxic_shift
292	Clean_DIAUX6	10	Chang_2002_Mol_Biol	7	diauxic_shift
293	Clean_DIAUX7	10	Chang_2002_Mol_Biol	7	diauxic_shift
294	Clean_DIAUX8	10	Chang_2002_Mol_Biol	7	diauxic_shift
295	Clean_DIAUX9	10	Chang_2002_Mol_Biol	7	diauxic_shift
277	Clean_H2O21	10	Chang_2002_Mol_Biol	7	diauxic_shift
286	Clean_H2O210	10	Chang_2002_Mol_Biol	7	diauxic_shift
287	Clean_H2O211	10	Chang_2002_Mol_Biol	7	diauxic_shift
278	Clean_H2O22	10	Chang_2002_Mol_Biol	7	diauxic_shift
279	Clean_H2O23	10	Chang_2002_Mol_Biol	7	diauxic_shift
280	Clean_H2O24	10	Chang_2002_Mol_Biol	7	diauxic_shift
281	Clean_H2O25	10	Chang_2002_Mol_Biol	7	diauxic_shift
282	Clean_H2O26	10	Chang_2002_Mol_Biol	7	diauxic_shift
283	Clean_H2O27	10	Chang_2002_Mol_Biol	7	diauxic_shift
284	Clean_H2O28	10	Chang_2002_Mol_Biol	7	diauxic_shift
285	Clean_H2O29	10	Chang_2002_Mol_Biol	7	diauxic_shift
241	Clean_TGC1	10	Chang_2002_Mol_Biol	2	aerobic__anaerobic
246	Clean_TGC10	10	Chang_2002_Mol_Biol	2	aerobic__anaerobic
247	Clean_TGC12	10	Chang_2002_Mol_Biol	2	aerobic__anaerobic
248	Clean_TGC14	10	Chang_2002_Mol_Biol	2	aerobic__anaerobic
249	Clean_TGC16	10	Chang_2002_Mol_Biol	2	aerobic__anaerobic
250	Clean_TGC18	10	Chang_2002_Mol_Biol	2	aerobic__anaerobic
242	Clean_TGC2	10	Chang_2002_Mol_Biol	2	aerobic__anaerobic
243	Clean_TGC5	10	Chang_2002_Mol_Biol	2	aerobic__anaerobic
244	Clean_TGC6	10	Chang_2002_Mol_Biol	2	aerobic__anaerobic
245	Clean_TGC8	10	Chang_2002_Mol_Biol	2	aerobic__anaerobic
261	GADXW_exp1	10	Chang_2002_Mol_Biol	6	pH
270	GADXW_exp10	10	Chang_2002_Mol_Biol	6	pH
271	GADXW_exp11	10	Chang_2002_Mol_Biol	6	pH
272	GADXW_exp12	10	Chang_2002_Mol_Biol	6	pH
273	GADXW_exp13	10	Chang_2002_Mol_Biol	6	pH
274	GADXW_exp14	10	Chang_2002_Mol_Biol	6	pH
275	GADXW_exp15	10	Chang_2002_Mol_Biol	6	pH
276	GADXW_exp16	10	Chang_2002_Mol_Biol	6	pH
262	GADXW_exp2	10	Chang_2002_Mol_Biol	6	pH
263	GADXW_exp3	10	Chang_2002_Mol_Biol	6	pH
264	GADXW_exp4	10	Chang_2002_Mol_Biol	6	pH
265	GADXW_exp5	10	Chang_2002_Mol_Biol	6	pH
266	GADXW_exp6	10	Chang_2002_Mol_Biol	6	pH
267	GADXW_exp7	10	Chang_2002_Mol_Biol	6	pH
268	GADXW_exp8	10	Chang_2002_Mol_Biol	6	pH
269	GADXW_exp9	10	Chang_2002_Mol_Biol	6	pH
304	GSM62194	11	GSE2827	10	antibiotic__toxic_agent
305	GSM62195	11	GSE2827	10	antibiotic__toxic_agent
306	GSM62196	11	GSE2827	10	antibiotic__toxic_agent
307	GSM62197	11	GSE2827	10	antibiotic__toxic_agent
308	GSM62198	11	GSE2827	10	antibiotic__toxic_agent
309	GSM62199	11	GSE2827	10	antibiotic__toxic_agent
310	GSM7886	12	GSE533	9	heat_cold_stress
311	GSM8110	12	GSE533	9	heat_cold_stress
312	GSM8111	12	GSE533	9	heat_cold_stress
313	GSM8112	12	GSE533	9	heat_cold_stress
314	GSM8113	12	GSE533	9	heat_cold_stress
315	GSM8114	12	GSE533	9	heat_cold_stress
316	GSM8115	12	GSE533	9	heat_cold_stress
317	GSM8116	12	GSE533	9	heat_cold_stress
318	GSM8117	12	GSE533	9	heat_cold_stress
319	GSM8118	12	GSE533	9	heat_cold_stress
320	GSM8119	12	GSE533	9	heat_cold_stress
321	GSM8120	12	GSE533	9	heat_cold_stress
322	E-MEXP-222-raw-data-386284924.txt	13	E-MEXP-222	10	antibiotic__toxic_agent
323	E-MEXP-222-raw-data-386284973.txt	13	E-MEXP-222	10	antibiotic__toxic_agent
324	E-MEXP-222-raw-data-386285007.txt	13	E-MEXP-222	10	antibiotic__toxic_agent
325	E-MEXP-222-raw-data-386285038.txt	13	E-MEXP-222	10	antibiotic__toxic_agent
326	E-MEXP-222-raw-data-386285069.txt	13	E-MEXP-222	10	antibiotic__toxic_agent
327	E-MEXP-222-raw-data-386285101.txt	13	E-MEXP-222	10	antibiotic__toxic_agent
328	E-MEXP-244-raw-data-396455050.txt	14	E-MEXP-244	10	antibiotic__toxic_agent
329	E-MEXP-244-raw-data-396455066.txt	14	E-MEXP-244	10	antibiotic__toxic_agent
330	E-MEXP-244-raw-data-396455082.txt	14	E-MEXP-244	10	antibiotic__toxic_agent
331	E-MEXP-244-raw-data-396455098.txt	14	E-MEXP-244	10	antibiotic__toxic_agent
332	E-MEXP-245-raw-data-396455333.txt	15	E-MEXP-245	10	antibiotic__toxic_agent
333	E-MEXP-245-raw-data-396455349.txt	15	E-MEXP-245	10	antibiotic__toxic_agent
334	E-MEXP-245-raw-data-396455365.txt	15	E-MEXP-245	10	antibiotic__toxic_agent
335	E-MEXP-245-raw-data-396455381.txt	15	E-MEXP-245	10	antibiotic__toxic_agent
336	E-MEXP-245-raw-data-396455397.txt	15	E-MEXP-245	10	antibiotic__toxic_agent
