network	n	precision	recall
Inferelator	10	1	0
Inferelator	50	0.3	0.001
Inferelator	100	0.538	0.007
Inferelator	200	0.481	0.012
Inferelator	250	0.552	0.018
Inferelator	500	0.521	0.03
Inferelator	1000	0.498	0.049
Inferelator	1500	0.452	0.061
Inferelator	2000	0.419	0.072
Inferelator	2500	0.383	0.079
Inferelator	5000	0.262	0.094
Inferelator	5273	0.248	0.095
Inferelator	10000	0.173	0.111
Inferelator	10535	0.168	0.113
Inferelator	15798	0.133	0.13
Inferelator	21061	0.112	0.139
Inferelator	25000	0.105	0.148
Inferelator	26323	0.102	0.151
Inferelator	31586	0.095	0.163
Inferelator	36848	0.087	0.169
Inferelator	42111	0.082	0.181
Inferelator	47374	0.075	0.186
Inferelator	50000	0.074	0.191
Inferelator	52636	0.072	0.196
Inferelator	57899	0.069	0.206
Inferelator	63162	0.066	0.215
Inferelator	68424	0.064	0.223
Inferelator	73687	0.062	0.231
Inferelator	78949	0.059	0.234
Inferelator	84212	0.057	0.242
Inferelator	89475	0.055	0.245
Inferelator	94737	0.052	0.248
Inferelator	1e+05	0.051	0.251
GRE	10	1	0.004
GRE	50	0.933	0.014
GRE	100	0.892	0.028
GRE	200	0.802	0.047
GRE	250	0.774	0.055
GRE	500	0.694	0.09
GRE	1000	0.6	0.142
GRE	1500	0.572	0.185
GRE	2000	0.538	0.217
GRE	2500	0.505	0.243
GRE	5000	0.4	0.306
GRE	5273	0.389	0.308
GRE	10000	0.292	0.359
GRE	10535	0.284	0.362
GRE	15798	0.228	0.398
GRE	21061	0.194	0.426
GRE	25000	0.178	0.448
GRE	26323	0.173	0.456
GRE	31586	0.154	0.468
GRE	36848	0.138	0.48
GRE	42111	0.126	0.494
GRE	47374	0.116	0.509
GRE	50000	0.111	0.512
GRE	52636	0.107	0.517
GRE	57899	0.1	0.531
GRE	63162	0.095	0.542
GRE	68424	0.091	0.557
GRE	73687	0.087	0.567
GRE	78949	0.084	0.585
GRE	84212	0.081	0.6
GRE	89475	0.079	0.623
GRE	94737	0.078	0.643
GRE	1e+05	0.076	0.668
GRE+Inf	10	0.75	0.001
GRE+Inf	50	0.56	0.007
GRE+Inf	100	0.721	0.015
GRE+Inf	200	0.667	0.03
GRE+Inf	250	0.693	0.038
GRE+Inf	500	0.719	0.077
GRE+Inf	1000	0.623	0.106
GRE+Inf	1500	0.573	0.133
GRE+Inf	2000	0.535	0.146
GRE+Inf	2500	0.514	0.159
GRE+Inf	5000	0.39	0.197
GRE+Inf	5273	0.378	0.199
GRE+Inf	10000	0.28	0.244
GRE+Inf	10535	0.276	0.248
GRE+Inf	15798	0.233	0.287
GRE+Inf	21061	0.204	0.309
GRE+Inf	25000	0.188	0.326
GRE+Inf	26323	0.184	0.333
GRE+Inf	31586	0.167	0.347
GRE+Inf	36848	0.157	0.366
GRE+Inf	42111	0.146	0.381
GRE+Inf	47374	0.137	0.397
GRE+Inf	50000	0.133	0.405
GRE+Inf	52636	0.128	0.407
GRE+Inf	57899	0.121	0.416
GRE+Inf	63162	0.115	0.428
GRE+Inf	68424	0.11	0.438
GRE+Inf	73687	0.104	0.442
GRE+Inf	78949	0.1	0.453
GRE+Inf	84212	0.096	0.457
GRE+Inf	89475	0.092	0.465
GRE+Inf	94737	0.089	0.475
GRE+Inf	1e+05	0.086	0.482
DREAM5	10	1	0
DREAM5	50	0.667	0.004
DREAM5	100	0.611	0.005
DREAM5	200	0.634	0.013
DREAM5	250	0.66	0.016
DREAM5	500	0.623	0.023
DREAM5	1000	0.568	0.038
DREAM5	1500	0.505	0.047
DREAM5	2000	0.464	0.053
DREAM5	2500	0.444	0.06
DREAM5	5000	0.353	0.082
DREAM5	5199	0.343	0.083
DREAM5	9860	0.243	0.109
DREAM5	10388	0.231	0.11
DREAM5	15577	0.194	0.137
DREAM5	20767	0.156	0.148
DREAM5	24651	0.139	0.157
DREAM5	25956	0.134	0.159
DREAM5	31145	0.12	0.171
DREAM5	36334	0.11	0.183
DREAM5	41523	0.103	0.196
DREAM5	46712	0.096	0.208
DREAM5	49302	0.095	0.215
DREAM5	51902	0.094	0.224
DREAM5	57091	0.089	0.237
DREAM5	62280	0.086	0.252
DREAM5	67469	0.083	0.265
DREAM5	72658	0.081	0.281
DREAM5	77847	0.079	0.297
DREAM5	83037	0.078	0.314
DREAM5	88226	0.078	0.336
DREAM5	93415	0.076	0.35
DREAM5	98604	0.074	0.362
