tf	target	weight
b4043	b2699	0.873461896551724
b1512	b1516	0.873044655172414
b3555	b2302	0.871164623819581
b3555	b2672	0.868913072095444
b3555	b1478	0.868592210026478
b3512	b0485	0.868238244509237
b3555	b2464	0.866132554854064
b4043	b1848	0.865547068965517
b3555	b4376	0.864809968647168
b3555	b3239	0.864773125982113
b3516	b3512	0.863821175543719
b3555	b2665	0.863789451405788
b1922	b1074	0.861841175543719
b3555	b3024	0.860967382440271
b1512	b1511	0.860921206896552
b3555	b3362	0.860413244509237
b3512	b3513	0.85984841692303
b3555	b1897	0.858608934164409
b3512	b3508	0.857557727267857
b3555	b1953	0.857153761750616
b3555	b4045	0.857078761750616
b3555	b2080	0.856513934164409
b3555	b1259	0.855942554854064
b4293	b0593	0.855421003129926
b3555	b1836	0.854089968647167
b3261	b3260	0.853000824456145
b1922	b1921	0.852195830716133
b3512	b1493	0.85216789968165
b2479	b2480	0.852152210026478
b3512	b3511	0.851794451405788
b3512	b3517	0.851750485888547
b4293	b0595	0.85160289968165
b3555	b2266	0.850916003129926
b1823	b1824	0.850830485888547
b3555	b1646	0.850297554854064
b3022	b3021	0.849840485888547
b1739	b1004	0.849443934164409
b3512	b3506	0.848911692785099
b4116	b4115	0.848634968647167
b3601	b3600	0.847552727267857
b1922	b1944	0.847527210026478
b1988	b1987	0.846495485888547
b3555	b2660	0.846361520371305
b1071	b1922	0.846206175543719
b3555	b1258	0.845768244509236
b3555	b1051	0.845282210026478
b1040	b1038	0.844291175543719
b3555	b4518	0.843404451405788
b1892	b1891	0.84313289968165
b3783	b3030	0.842884278991995
b3118	b3117	0.842544623819581
b4293	b4511	0.842112382440271
b3190	b3189	0.841872727267857
b1739	b2266	0.841347037612685
b3555	b2086	0.841275141060961
b1922	b1070	0.84010565830234
b3555	b3494	0.839501520371306
b1988	b1012	0.838584968647167
b2869	b2876	0.838164968647168
b1512	b1513	0.837505689655172
b3555	b2465	0.836584796233375
b1339	b1338	0.836438934164409
b1512	b1517	0.836348275862069
b1306	b1307	0.83567789968165
b3512	b3509	0.834614451405788
b3555	b1783	0.832266692785099
b1739	b3099	0.831771865198892
b2697	b3296	0.831554106578202
b1922	b1078	0.830810141060961
b1739	b1482	0.830736865198892
b1071	b4109	0.830702037612685
b1299	b1298	0.82945289968165
b3190	b2041	0.829108761750616
b1071	b1070	0.828651003129926
b3190	b3255	0.828550141060961
b0357	b0356	0.828141692785098
b1071	b1889	0.828080313474754
b3555	b3012	0.828035485888547
b3555	b2809	0.827772554854064
b1739	b3098	0.82756065830234
b1305	b1304	0.82742289968165
b3190	b2034	0.827392727267857
b0435	b1952	0.827363965517241
b3604	b3603	0.827297554854064
b1922	b1946	0.827200830716133
b3555	b0897	0.826521520371305
b1608	b1609	0.826402554854064
b3520	b3659	0.825947382440271
b0435	b1195	0.825738965517241
b4498	b2091	0.825537727267857
b2856	b2858	0.825503034482623
b2127	b2302	0.825441692785099
b3023	b3024	0.824059106578202
b1739	b1003	0.823686003129926
b1988	b1011	0.823501175543719
b2669	b2972	0.822483761750616
b4293	b0584	0.822412037612685
b3555	b0753	0.822101003129926
b1071	b0763	0.821845141060961
b0487	b0486	0.821727382440271
b1988	b1932	0.821505485888547
b1739	b0865	0.82148789968165
b4043	b1061	0.821439827586207
b3512	b1492	0.821064796233374
b3702	b3701	0.820926003129926
b2684	b2683	0.820881003129926
b3190	b0474	0.82048341692303
b2697	b0176	0.81996565830234
b3418	b4034	0.819669796233374
b2573	b2572	0.81962289968165
b4000	b1175	0.8196217780246
b3512	b3507	0.819304586206761
b3555	b3153	0.818937382440271
b3190	b1831	0.818865313474754
b0413	b0414	0.818683589336823
b0064	b1901	0.818649968647167
b4498	b2092	0.818528072095444
b1071	b1890	0.818306865198892
b0435	b4411	0.817974827586207
b3783	b3705	0.817751003129926
b0889	b0166	0.817713643223492
b2531	b2530	0.81724565830234
b3604	b3605	0.817187037612685
b2667	b2668	0.81700289968165
b3906	b3907	0.816922554854064
b0313	b0312	0.816827037612685
b2531	b2529	0.816680485888547
b1071	b1923	0.816668589336823
b1988	b0450	0.816435712189009
b2479	b3610	0.816290830716133
b4293	b4367	0.816047554854064
b1422	b2587	0.815650141060961
b1071	b1082	0.815559451405788
b2531	b2528	0.815174106578202
b3190	b2316	0.815035141060961
b4043	b4044	0.814865571128048
b0487	b1000	0.814805141060961
b3555	b1188	0.814654796233374
b3202	b3203	0.81455789968165
b2697	b0180	0.814441003129926
b3555	b1957	0.814318589336823
b3555	b1482	0.814140313474754
b1339	b1337	0.813789623819581
b1014	b1015	0.813221175543719
b1739	b4376	0.812904623819581
b3261	b1126	0.812691858938904
b1739	b2080	0.812657210026478
b2684	b2034	0.812430485888547
b2217	b2216	0.812235830716133
b1739	b0453	0.810686692785099
b3190	b3194	0.810671003129926
b1739	b1064	0.810667554854064
b4260	b4259	0.810202899681651
b4000	NA	0.810199881472876
b0020	b0019	0.810157037612685
b1922	b1082	0.810136514516655
b0435	b1810	0.810073410663042
b4000	b0440	0.809805172413793
b3702	b3632	0.80978789968165
b1735	b1736	0.808991692785099
b4292	b0596	0.808881175543719
b1071	b1742	0.808848761750616
b3261	b2171	0.808779137931034
b1658	b2499	0.808714623819582
b3555	b3522	0.808500313474754
b1299	b1300	0.808486175543719
b3520	NA	0.808310485888547
b3555	b1166	0.808272727267857
b3118	b3115	0.807852554854064
b3190	b2746	0.807571520371306
b3410	b3409	0.807377210026478
b0683	b4637	0.807159796233375
b2697	b2513	0.807042037612685
b4293	b3006	0.80669789968165
b3190	b3625	0.806674106578202
b4293	b4292	0.80648959906378
b3555	b0453	0.806037554854064
b3202	b3204	0.805799106578202
b3555	b4411	0.805126520371305
b2409	b4696	0.804996692785099
b3067	b3401	0.804938072095443
b2127	b1519	0.804681692785099
b2399	b2398	0.804562608740733
b2805	b1976	0.804401692785099
b0487	b0999	0.804333072095443
b3292	b3293	0.804076865198892
b4043	b1861	0.80334224137931
b3190	b3640	0.803321520371306
b1739	b0812	0.803170485888547
b1988	b1006	0.80308289968165
b1739	b4149	0.803078761750616
b1988	b1010	0.803006692785099
b3783	b3784	0.802841919085561
b1040	b1039	0.802183724137795
b2697	b2514	0.802171175543719
b3555	b4269	0.801944623819581
b3190	b3611	0.801358761750616
b2687	b2688	0.801159272732007
b0889	b0031	0.801089278991995
b3261	b3705	0.800743583076834
b3082	b3083	0.800579623819581
b0272	b0188	0.800522727267857
b3190	b3999	0.799914278991995
b3520	b2354	0.799673244509236
b1508	b1507	0.799619623819581
b1563	b1564	0.79937459906378
b0796	b0795	0.799347554854064
b3190	b3703	0.799305485888547
b3190	b2320	0.799289332878664
b4293	b1705	0.799122037612685
b2697	b2216	0.798414106578202
b1512	b1518	0.798207068965517
b0435	b0384	0.798203275862069
b0487	b4187	0.797642554854064
b3674	b4028	0.797467382440271
b3783	b3785	0.79744341692303
b3119	b3120	0.797439241379175
b4293	b2155	0.79742065830234
b4118	b4189	0.797418589336823
b3190	b3639	0.797159106578202
b3702	b3700	0.797104451405788
b3190	b2891	0.796750141060961
b4043	b0958	0.796617413793103
b3190	b2939	0.796596520371306
b1339	b1343	0.796498761750616
b3190	b3390	0.796239106578202
b2805	b3885	0.79620341692303
b0357	b0355	0.796195485888547
b1658	b0523	0.795478761750616
b2248	b2357	0.795347727267857
b3190	b2033	0.794882727267857
b1399	b1400	0.794783934164409
b3190	b2317	0.794743589336823
b4000	b3836	0.794507640093566
b4327	b4328	0.794436347957513
b3190	b3193	0.794282037612685
b3190	b3424	0.794001865198892
b0571	b0575	0.793540485888547
b3190	b2951	0.793394451405788
b2697	b3733	0.792834451405788
b3119	b2850	0.792745275861933
b3783	b3250	0.79250289968165
b1071	b0764	0.792371520371306
b3190	b0125	0.792235485888547
b2869	b1002	0.792225141060961
b2869	b2877	0.792182037612685
b1608	b0877	0.791907548999413
b3202	b3053	0.791761520371306
b2684	b0578	0.79168065830234
b3118	b3116	0.791494278991995
b1305	b4050	0.791478934164409
b0435	b2666	0.791217413793103
b4327	b4329	0.791026520371306
b1739	b2660	0.790880313474754
b4293	b1452	0.790722554854064
b3190	b2952	0.790313761750616
b1071	b1885	0.790206003129926
b1071	b1566	0.790059451405788
b3261	b1131	0.789955824456145
b3190	b1091	0.78971841692303
b1305	b1306	0.789611150787918
b3556	b3163	0.788922893421662
b3261	b4203	0.788854100318214
b3190	b3002	0.788837554854064
b0313	b0314	0.788166746671768
b1071	b1194	0.788075141060961
b3906	b3141	0.788008761750616
b3556	b0990	0.787984617559593
b3512	b0980	0.787813589336823
b0889	b0907	0.787351347957512
b3067	b3178	0.787256347957513
b1922	b1076	0.787207554854064
b1531	b1530	0.787021865198892
b2127	b2086	0.786867382440271
b3190	b3185	0.786848589336823
b3711	b3710	0.786566003129926
b0435	b0965	0.786560344827586
b4043	b2617	0.786171551724138
b1969	b1457	0.785966175543719
b3555	b1449	0.785686347957512
b2664	b2663	0.785594623819581
b1988	b1007	0.785318379310209
b3190	b3197	0.785162210026478
b3190	b4147	0.785114451405788
b3190	b2185	0.784796692785099
b4293	b4567	0.784445313474754
b2537	b1415	0.784434332878664
b4293	b0804	0.784434106578202
b3783	b3256	0.784278244509237
b2479	b1740	0.784231746671768
b3512	b0486	0.784137727267857
b1658	b2313	0.784085485888547
b3261	b2014	0.784048464549711
b1422	b0721	0.784018125982113
b1214	b1233	0.784000313474754
b1987	b2012	0.783673761750616
b1739	b3361	0.783370110450509
b1739	b1795	0.783031865198892
b1563	b1562	0.783017554854064
b3783	b3704	0.782764278991995
b0676	b0677	0.78271014106096
b3190	b0168	0.782703589336823
b2127	b3102	0.782629451405788
b2479	b3887	0.782523761750616
b4539	b2016	0.782473589336823
b2869	b3001	0.782153761750616
b1922	b1073	0.782106520371306
b3190	b1727	0.781818072095443
b1040	b1037	0.781540313474754
b0162	b3125	0.781408244509237
b0435	b4598	0.781241034482759
b1214	b1215	0.780986347957512
b3190	b2319	0.780794968647168
b4292	b0592	0.780641175543719
b3261	b2027	0.780509100318214
b3555	b3448	0.780440313474754
b3190	b0737	0.780428589336823
b1739	b4051	0.780296347957512
b3190	b0630	0.78018289968165
b3555	b2659	0.780006520371305
b3190	b3170	0.779849968647168
b3190	b3630	0.779633072095444
b4000	b1094	0.779582000742245
b1922	b1071	0.779357012856884
b3190	b0469	0.77925565830234
b2664	b2662	0.779217727267857
b2741	b3336	0.778893762492997
b2684	b2685	0.778795830716133
b2127	b2602	0.778746003129926
b1739	b3024	0.77866183458844
b3190	b1204	0.778522382440271
b0435	b1431	0.778168275862069
b2017	b4539	0.77814289968165
b2409	b2933	0.777928244509236
b3783	b2890	0.777839106578202
b1739	b4127	0.77769786206883
b4479	b4195	0.777140830716133
b4113	b4114	0.776944623819581
b1739	b4135	0.776698072095444
b3118	b2876	0.776669332878664
b2248	b2139	0.776633589336823
b3190	b3739	0.77652341692303
b2706	b2703	0.776523125982113
b4293	b3005	0.776355313474754
b2669	b0833	0.776246692785099
b0113	b0628	0.776211865198892
b2706	b2705	0.776046229430388
b0440	b4000	0.775680659044721
b3357	b3356	0.775521514111317
b1339	b1335	0.775470485888547
b1922	b1075	0.775452727267857
b4292	b1019	0.77544789968165
b3190	b0471	0.775227382440271
b4260	b3192	0.775048761750616
b1649	b1650	0.774932554854064
b3190	b2351	0.77422795356832
b2127	b4107	0.774225627691888
b3906	b3710	0.774214796233374
b2127	b1815	0.774198761750616
b3261	b0023	0.774194617559593
b1922	b1072	0.774132899681651
b2479	b3858	0.774120141060961
b2697	b0921	0.773291003129926
b3261	b2606	0.773215307214766
b4182	b2770	0.773113934164409
b2213	b2475	0.772977210026478
b3906	b3215	0.772754413792968
b4260	b2743	0.772456865198892
b3060	b2111	0.772377893827
b0487	b4377	0.772354451405788
b4398	b4397	0.771741175543719
