n	precision	recall
10	1	0
50	0.667	0.004
100	0.611	0.005
200	0.634	0.013
250	0.66	0.016
500	0.623	0.023
1000	0.568	0.038
1500	0.505	0.047
2000	0.464	0.053
2500	0.444	0.06
5000	0.353	0.082
5199	0.343	0.083
9860	0.243	0.109
10388	0.231	0.11
15577	0.194	0.137
20767	0.156	0.148
24651	0.139	0.157
25956	0.134	0.159
31145	0.12	0.171
36334	0.11	0.183
41523	0.103	0.196
46712	0.096	0.208
49302	0.095	0.215
51902	0.094	0.224
57091	0.089	0.237
62280	0.086	0.252
67469	0.083	0.265
72658	0.081	0.281
77847	0.079	0.297
83037	0.078	0.314
88226	0.078	0.336
93415	0.076	0.35
98604	0.074	0.362
