V1	V2	V3	tf	target
G92	G2	1	b1334	b3481
G232	G3	1	b2916	b3702
G55	G4	1	b3357	b3118
G56	G4	1	b3119	b3118
G268	G4	1	b0912	b3118
G333	G4	1	b1712	b3118
G224	G6	1	b1013	b1649
G84	G8	1	b3938	b3828
G259	G10	1	b3512	b1951
G274	G10	1	b2217	b1951
G55	G11	1	b3357	b0064
G23	G19	1	b3261	b1530
G89	G19	1	b1531	b1530
G210	G19	1	b4396	b1530
G55	G23	1	b3357	b3261
G268	G23	1	b0912	b3261
G333	G23	1	b1712	b3261
G23	G55	1	b3261	b3357
G82	G57	1	b1507	b1508
G55	G58	1	b3357	b3423
G55	G60	1	b3357	b3601
G282	G60	1	b0080	b3601
G92	G69	1	b1334	b0113
G142	G77	1	b1303	b1305
G268	G77	1	b0912	b1305
G333	G77	1	b1712	b1305
G313	G78	1	b4401	b0313
G57	G82	1	b1508	b1507
G55	G83	1	b3357	b4124
G192	G83	1	b1221	b4124
G19	G89	1	b1530	b1531
G23	G89	1	b3261	b1531
G210	G89	1	b4396	b1531
G23	G93	1	b3261	b1739
G55	G95	1	b3357	b1512
G92	G99	1	b1334	b2731
G268	G99	1	b0912	b2731
G333	G99	1	b1712	b2731
G55	G106	1	b3357	b3906
G236	G106	1	b3905	b3906
G10	G110	1	b1951	b1892
G22	G110	1	b2289	b1892
G55	G110	1	b3357	b1892
G96	G110	1	b4480	b1892
G274	G110	1	b2217	b1892
G281	G110	1	b1237	b1892
G23	G113	1	b3261	b0440
G55	G113	1	b3357	b0440
G55	G128	1	b3357	b1735
G260	G128	1	b0676	b1735
G86	G144	1	b3912	b2079
G55	G145	1	b3357	b3418
G176	G145	1	b1594	b3418
G86	G150	1	b3912	b1040
G209	G150	1	b1608	b1040
G283	G150	1	b3405	b1040
G55	G151	1	b3357	b0034
G92	G151	1	b1334	b0034
G44	G160	1	b2714	b0330
G55	G160	1	b3357	b0330
G55	G161	1	b3357	b2805
G55	G167	1	b3357	b4118
G23	G183	1	b3261	b4000
G55	G183	1	b3357	b4000
G313	G187	1	b4401	b3604
G224	G188	1	b1013	b3515
G254	G188	1	b3516	b3515
G259	G188	1	b3512	b3515
G281	G188	1	b1237	b3515
G125	G189	1	b1130	b4241
G92	G192	1	b1334	b1221
G255	G192	1	b0761	b1221
G140	G197	1	b1275	b1987
G73	G201	1	b4043	b3067
G283	G203	1	b3405	b0435
G3	G204	1	b3702	b3461
G55	G204	1	b3357	b3461
G268	G204	1	b0912	b3461
G277	G204	1	b3934	b3461
G333	G204	1	b1712	b3461
G147	G207	1	b1187	b4018
G125	G209	1	b1130	b1608
G89	G210	1	b1531	b4396
G299	G216	1	b4539	b2017
G10	G219	1	b1951	b1891
G22	G219	1	b2289	b1891
G55	G219	1	b3357	b1891
G96	G219	1	b4480	b1891
G274	G219	1	b2217	b1891
G281	G219	1	b1237	b1891
G55	G236	1	b3357	b3905
G106	G236	1	b3906	b3905
G305	G243	1	b0683	b4293
G305	G246	1	b0683	b4292
G55	G247	1	b3357	b3574
G268	G247	1	b0912	b3574
G333	G247	1	b1712	b3574
G188	G254	1	b3515	b3516
G224	G254	1	b1013	b3516
G259	G254	1	b3512	b3516
G281	G254	1	b1237	b3516
G55	G259	1	b3357	b3512
G138	G259	1	b2369	b3512
G188	G259	1	b3515	b3512
G254	G259	1	b3516	b3512
G271	G259	1	b1499	b3512
G55	G260	1	b3357	b0676
G330	G263	1	b0506	b0504
