n	precision	recall
10	1	0.003
50	0.935	0.014
100	0.894	0.029
200	0.803	0.046
250	0.784	0.056
500	0.747	0.081
1000	0.621	0.106
1500	0.576	0.134
2000	0.542	0.15
2500	0.515	0.16
5000	0.39	0.197
5273	0.378	0.2
10000	0.279	0.242
10535	0.276	0.249
15798	0.232	0.286
21061	0.203	0.31
25000	0.188	0.328
26323	0.183	0.334
31586	0.168	0.35
36848	0.156	0.366
42111	0.147	0.384
47374	0.138	0.401
50000	0.133	0.406
52636	0.129	0.41
57899	0.121	0.419
63162	0.115	0.429
68424	0.11	0.439
73687	0.105	0.448
78949	0.101	0.457
84212	0.096	0.463
89475	0.093	0.471
94737	0.089	0.48
1e+05	0.086	0.484
