tf	target	weight
b4043	b2616	3413.283
b4043	b1061	3323.011
b4043	b0958	3270.35
b4043	b3645	3242.395
b4043	b1183	3230.228
b4043	b0231	3119.173
b4043	b0779	3103.415
b4043	b2698	3067.702
b4043	b1847	3000.486
b4043	b4043	2732.874
b1658	b1062	2704.556
b1658	b2557	2685.99
b1658	b1849	2671.115
b1658	b0522	2622.824
b1658	b0336	2621.063
b1658	b2499	2609.977
b1658	b2312	2605.108
b1658	b3654	2561.133
b4043	b1741	2542.43
b4043	b0799	2521.046
b1658	b4244	2503.849
b4043	b3813	2365.776
b4043	b1728	2358.267
b4043	b4347	2346.774
b1658	b4005	2079.205
b1658	b0945	2033.522
b1658	b0032	2030.329
b0683	b4367	1937.168
b0683	b1452	1906.875
b0683	b1252	1902.173
b0683	b1705	1883.179
b0683	b0591	1869.657
b0683	b3337	1865.453
b0683	b3005	1830.714
b0683	b0468	1791.051
b0683	b0588	1780.626
b0683	b0150	1745.117
b0683	b3070	1737.919
b0683	b1018	1721.594
b4043	b1861	1639.804
b1658	b4064	1632.26
b0683	b4292	1591.3
b3237	b0860	1577.707
b3237	b2818	1567.923
b3237	b4254	1566.497
b0683	b4567	1564.674
b3237	b3359	1564.125
b3237	b3172	1560.344
b3237	b0273	1533.457
b0683	b0593	1510.572
b4043	b1860	1502.313
b3237	b3958	1480.169
b0683	b2211	1469.739
b1658	b2476	1310.561
b4043	b4058	1300.237
b3938	b3941	1254.583
b4043	b4059	1193.573
b3938	b4013	1183.004
b0683	b1102	1148.44
b3938	b3008	1097.068
b0683	b0804	1069.031
b1658	b4246	1015.741
b3938	b0197	1003.006
b0683	b2155	993.606
b0683	b0585	932.702
b1658	b2500	887.238
b1658	b1658	867.553
b4043	b0060	785.968
b3237	b0750	747.621
b0683	b1451	731.46
b0683	b4287	729.53
b4043	b4044	720.003
b1658	b2313	696.477
b1658	b3714	689.968
b3512	b3517	683.091
b4043	b1848	681.467
b3512	b1492	676.086
b3237	b3661	675.136
b3237	b3829	670.813
b1658	b0523	645.701
b1658	b4006	642.145
b3237	b3957	635.127
b3512	b3511	634.55
b4043	b2009	625.166
b3418	b4035	603.889
b3418	b3416	581.783
b4043	b2699	581.2
b3418	b4032	579.104
b3938	b3829	557.639
b3938	b0600	556.37
b0683	b2673	556.369
b3938	b0754	546.854
b0683	b2392	545.125
b1658	b2497	521.726
b3512	b3508	516.736
b3512	b3506	516.194
b3938	b0599	512.065
b0683	b1494	507.612
b4043	b0798	505.659
b1334	b1223	503.463
b1334	b3365	492.72
b0683	b4582	492.564
b3512	b3512	464.569
b0683	b3908	453.826
b3938	b3828	448.996
b0683	b0583	447.184
b3938	b0260	436.372
b1658	b4024	424.391
b0683	b4293	421.258
b1334	b1224	409.614
b0683	b0151	406.485
b3938	b2942	400.913
b0683	b0755	399.018
b3237	b3941	397.818
b4043	b3832	396.218
b1334	b2579	394.247
b3938	b4254	389.941
b1892	b1937	386.259
b1891	b1937	386.259
b0080	b3612	380.593
b0683	b2210	378.099
b3512	b3516	374.943
b3423	b2241	374.674
b1334	b3158	366.672
b3516	b3517	364.576
b1892	b1878	362.098
b1891	b1878	362.098
b3423	b3926	356.462
b4043	b4613	353.62
b0080	b3916	351.88
b3423	b2239	351.699
b3423	b3426	350.359
b3512	b3515	345.444
b0080	b3919	341.796
b3516	b1492	337.5
b4043	b1846	337.32
b1892	b1938	333.175
b1891	b1938	333.175
b1892	b1904	330.424
b1891	b1904	330.424
b0080	b1817	330.02
b3938	b3939	329.834
b3516	b3508	327.016
b1334	b0621	323.001
b1334	b1256	322.925
b1334	b3476	312.759
b3516	b3506	309.193
b1658	b0907	308.683
b3237	b2838	306.871
b4043	b4520	306.061
b3512	b3507	301.455
b2731	b2725	299.882
b1334	b0919	296.758
b3515	b3511	296.42
b3515	b3517	293.51
b3515	b3508	291.918
b4043	b0232	286.563
b1892	b1070	286.339
b1891	b1070	286.339
b1892	b1921	283.726
b1891	b1921	283.726
b3516	b3511	283.563
b1334	b1593	282.216
b3237	b2913	279.067
b3515	b3506	278.126
b3418	b4239	277.3
b4043	b4618	277.264
b2105	b2106	274.475
b3938	b0775	273.264
b2105	b2105	271.59
b3938	b0198	270.55
b0683	b1679	267.658
b3237	b4244	267.263
b4043	b1137	259.755
b3512	b4377	255.102
b1658	b3823	254.432
b1187	b0221	253.44
b3237	b0032	253.218
b1334	b0873	251.583
b4043	b3461	249.883
b1892	b1082	249.217
b1891	b1082	249.217
b1334	b3573	245.531
b3515	b1492	244.983
b1658	b2156	242.895
b0683	b0584	242.454
b4043	b1146	241.154
b1275	b2762	240.273
b4401	b2980	239.517
b2731	b2713	237.402
b1892	b1923	236.932
b1891	b1923	236.932
b1334	b0903	236.822
b1658	b3990	235.613
b0080	b2388	231.139
b1275	b2750	230.857
b3237	b1265	230.224
b1658	b2509	228.372
b1334	b2111	226.934
b3237	b3774	225.471
b1892	b1924	224.662
b1891	b1924	224.662
b1275	b1287	224.231
b3237	b3523	223.208
b1892	b1073	221.984
b1891	b1073	221.984
b0683	b1056	221.368
b0683	b0805	220.219
b1892	b1072	219.897
b1891	b1072	219.897
b3516	b3512	219.34
b0683	b1019	219.265
b0506	b0505	219.079
b0080	b2925	217.661
b1892	b1194	216.848
b1891	b1194	216.848
b4043	b0233	211.225
b3516	b0485	209.709
b0080	b1779	208.367
b3418	b4037	208.021
b1187	b4216	206.532
b1334	b4070	204.912
b3418	b2903	204.578
b3237	b4013	204.562
b3512	b0999	203.433
b0506	b0504	203.263
