n	precision	recall
10	1	0.004
50	0.933	0.014
100	0.892	0.028
200	0.802	0.047
250	0.774	0.055
500	0.694	0.09
1000	0.6	0.142
1500	0.572	0.185
2000	0.538	0.217
2500	0.505	0.243
5000	0.4	0.306
5273	0.389	0.308
10000	0.292	0.359
10535	0.284	0.362
15798	0.228	0.398
21061	0.194	0.426
25000	0.178	0.448
26323	0.173	0.456
31586	0.154	0.468
36848	0.138	0.48
42111	0.126	0.494
47374	0.116	0.509
50000	0.111	0.512
52636	0.107	0.517
57899	0.1	0.531
63162	0.095	0.542
68424	0.091	0.557
73687	0.087	0.567
78949	0.084	0.585
84212	0.081	0.6
89475	0.079	0.623
94737	0.078	0.643
1e+05	0.076	0.668
