tf	target	weight
b1071	b1070	208.735
b3512	b3517	205.737
b0313	b0312	205.583
b3512	b3506	205.546
b1071	b1082	204.774
b1922	b1921	204.548
b3512	b3511	204.069
b3604	b3605	204.054
b1071	b1083	203.837
b2531	b2528	203.021
b1922	b1071	202.172
b1071	b1922	201.331
b4293	b4292	201.321
b2531	b2529	201.026
b1922	b1070	199.608
b2531	b2530	199.268
b2125	b2126	199.209
b3512	b1492	198.232
b3512	b3508	197.484
b1071	b1921	196.897
b4292	b4293	196.776
b3604	b3603	196.429
b1564	b1563	195.022
b1299	b1298	194.837
b3512	b1493	194.528
b1563	b1564	193.536
b2017	b4539	192.779
b1922	b1082	192.655
b4539	b2017	192.302
b0357	b0356	191.712
b1922	b1083	190.624
b1040	b1039	190.072
b0313	b0311	189.573
b1040	b1038	189.55
b1988	b0451	188.522
b4293	b4367	188.059
b1071	b1889	186.023
b1988	b0450	185.815
b1988	b1932	184.829
b1071	b1890	183.424
b3711	b3710	182.984
b1306	b1305	182.826
b1305	b1306	182.75
b1892	b1891	182.098
b2869	b2876	181.805
b1071	b1888	181.617
b1071	b1887	181.452
b1891	b1892	180.676
b1823	b1824	180.613
b3512	b0485	180.301
b3512	b0486	179.893
b3512	b3516	179.655
b2852	b2849	179.435
b1071	b1923	178.743
b4293	b1452	178.104
b2706	b2703	177.529
b3202	b3203	177.476
b2706	b2705	176.927
b1071	b1924	176.573
b1530	b1531	175.888
b3516	b3512	175.557
b1071	b1886	175.461
b1531	b1530	175.406
b1512	b1517	175.336
b2706	b2702	174.902
b1512	b1511	174.721
b2573	b2572	174.666
b2706	b2704	174.397
b2869	b2875	174.38
b1071	b1881	173.656
b1306	b1307	173.456
b3202	b3204	173.384
b1305	b1304	172.394
b1071	b1883	171.899
b1071	b1882	171.689
b3261	b3260	170.506
b1071	b3525	169.405
b1512	b1516	169.149
b3516	b3506	168.924
b1299	b1297	168.862
b1512	b1518	168.828
b1512	b1513	168.716
b3516	b3517	168.075
b3512	b3507	167.739
b1071	b1884	166.501
b3516	b3511	166.493
b1922	b1074	165.685
b3702	b3701	165.525
b0313	b0314	165.511
b1739	b1004	164.995
b3516	b3508	164.819
b2869	b2877	164.749
b1922	b1076	164.412
b1922	b1073	164.227
b1922	b1923	164.208
b2869	b1002	164.191
b1922	b1075	164.097
b1922	b1072	163.922
b4293	b1252	163.806
b4293	b3006	163.285
b1306	b1304	162.567
b1305	b1307	162.141
b1071	b1925	161.859
b4292	b4367	161.576
b4293	b3005	161.237
b1922	b1889	161.206
b4293	b0591	160.74
b1512	b1515	160.665
b1922	b1078	160.635
b1922	b1890	160.402
b1739	b1003	160.307
b3516	b1492	159.989
b3516	b1493	159.93
b3515	b3516	159.73
b4539	b2016	159.572
b4293	b0589	159.437
b2852	b2851	159.411
b2869	b3001	159.333
b4043	b1061	158.041
b4498	b2091	157.944
b1040	b1037	157.418
b4293	b0588	157.001
b0338	b0341	156.959
b1922	b1077	156.768
b4498	b2092	156.406
b3512	b3509	156.068
b4498	b2093	155.514
b4498	b2094	155.484
b1512	b1514	155.367
b4293	b0590	155.196
b4293	b1705	154.996
b2531	b2527	154.851
b3512	b3510	154.457
b2017	b2016	154.355
b1988	b1007	154.188
b1422	b2980	154.159
b4293	b0592	154.006
b3512	b4187	153.924
b4498	b2095	153.41
b1922	b1887	153.247
b1922	b3525	153.206
b4043	b2699	153.197
